#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
23,Andrew Wiggins,MIN,82,2979,1452,569,1300,43.8,112,338,33.1,202,314,64.3,82,276,358,160,91,51,138,163,1131,1.16,0.66
23,Harrison Barnes,DAL,77,2634,1452,537,1208,44.5,119,333,35.7,259,313,82.7,77,391,468,152,49,14,118,94,1292,1.29,0.41
25,Joel Embiid,PHI,63,1912,1445,510,1056,48.3,66,214,30.8,359,467,76.9,143,547,690,199,40,111,234,209,1597,0.85,0.17
26,Nikola Jokic,DEN,75,2443,1385,504,1010,49.9,111,280,39.6,266,313,85.0,195,608,803,458,90,61,210,212,2034,2.18,0.43
27,Jamal Murray,DEN,81,2565,1352,479,1062,45.1,165,436,37.8,229,253,90.5,82,215,297,274,79,28,172,173,1251,1.59,0.46
28,Dwight Howard,CHA,81,2463,1347,506,911,55.5,1,7,14.3,334,582,57.4,255,757,1012,105,48,131,208,249,1782,0.51,0.23
29,Devin Booker,PHX,54,1865,1346,455,1054,43.2,147,384,38.3,289,329,87.8,26,218,244,253,47,14,194,168,1071,1.30,0.24
29,Stephen Curry,GSW,51,1631,1346,428,864,49.5,212,501,42.3,278,302,92.1,36,225,261,310,80,8,153,114,1392,2.03,0.52
31,Julius Randle,LAL,82,2190,1323,504,904,55.8,10,45,22.2,305,425,71.8,181,473,654,210,43,45,213,274,1542,0.99,0.20
32,Eric Bledsoe,MIL,74,2322,1313,468,989,47.3,125,360,34.7,252,317,79.5,51,233,284,370,149,42,216,185,1356,1.71,0.69
33,Jimmy Butler,MIN,59,2164,1307,437,921,47.4,70,200,35.0,363,425,85.4,79,235,314,288,116,24,108,78,1395,2.67,1.07
34,Dennis Schroder,ATL,67,2078,1301,500,1146,43.6,76,262,29.0,225,265,84.9,44,164,208,417,72,6,183,147,1135,2.28,0.39
35,Goran Dragic,MIA,75,2378,1296,484,1075,45.0,111,300,37.0,217,271,80.1,54,252,306,359,63,12,166,180,1225,2.16,0.38
36,Ben Simmons,PHI,81,2732,1279,544,998,54.5,0,11,0.0,191,341,56.0,145,514,659,661,140,70,278,211,1927,2.38,0.50
37,T.J. Warren,PHX,65,2142,1271,529,1063,49.8,20,90,22.2,193,255,75.7,125,208,333,85,65,41,85,149,1114,1.00,0.77
38,Will Barton,DEN,81,2683,1268,465,1028,45.2,156,422,37.0,182,226,80.5,70,339,409,331,82,52,149,168,1386,2.22,0.55
39,Kyle Lowry,TOR,78,2510,1267,403,944,42.7,238,596,39.9,223,261,85.4,66,368,434,537,85,19,183,192,1580,2.93,0.46
40,Carmelo Anthony,OKC,78,2501,1261,472,1168,40.4,169,474,35.7,148,193,76.7,67,386,453,103,47,49,99,197,1073,1.04,0.47
41,Marc Gasol,MEM,73,2408,1258,434,1033,42.0,109,320,34.1,281,337,83.4,78,514,592,305,54,101,194,185,1461,1.57,0.28
42,Eric Gordon,HOU,69,2154,1243,415,970,42.8,218,608,35.9,195,241,80.9,25,145,170,154,44,27,130,116,907,1.19,0.34
43,Blake Griffin,DET,58,1970,1242,436,996,43.8,111,322,34.5,259,330,78.5,73,355,428,334,40,18,165,139,1266,2.02,0.24
43,Kyle Kuzma,LAL,77,2401,1242,468,1039,45.0,159,434,36.6,147,208,70.7,88,395,483,141,49,34,140,160,1177,1.01,0.35
45,DeMarcus Cousins,NOP,48,1737,1210,406,864,47.0,104,294,35.4,294,394,74.6,105,512,617,257,79,76,242,183,1439,1.06,0.33
46,JJ Redick,PHI,70,2116,1198,404,879,46.0,193,460,42.0,197,218,90.4,9,169,178,210,35,6,103,123,1028,2.04,0.34
47,Andre Drummond,DET,78,2625,1171,466,881,52.9,0,11,0.0,239,395,60.5,399,848,1247,237,114,127,200,250,2125,1.19,0.57
48,Gary Harris,DEN,67,2305,1170,440,908,48.5,156,394,39.6,134,162,82.7,37,139,176,194,122,15,119,119,1062,1.63,1.02
49,Taurean Prince,ATL,82,2464,1158,415,975,42.6,176,457,38.5,152,180,84.4,50,339,389,214,85,42,191,168,1109,1.12,0.45
50,Bojan Bogdanovic,IND,80,2465,1141,404,852,47.4,155,386,40.2,178,205,86.8,30,240,270,119,55,8,106,129,1012,1.12,0.52
