#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
39,Klay Thompson,GSW,53,1734,1172,420,976,43.0,230,563,40.9,102,114,89.5,34,183,217,134,36,18,94,102,915,1.43,0.38
40,Terry Rozier,CHA,55,1963,1170,429,1041,41.2,149,447,33.3,163,200,81.5,47,181,228,265,60,13,120,100,967,2.21,0.50
41,Paolo Banchero,ORL,58,1954,1158,384,907,42.3,64,235,27.2,326,434,75.1,66,317,383,209,53,30,157,131,1045,1.33,0.34
42,Domantas Sabonis,SAC,61,2103,1155,437,710,61.5,25,70,35.7,256,334,76.6,183,571,754,422,51,28,179,224,1880,2.36,0.28
42,RJ Barrett,NYK,59,2017,1155,409,948,43.1,105,318,33.0,232,310,74.8,52,253,305,164,28,10,134,152,911,1.22,0.21
44,Stephen Curry,GSW,39,1345,1146,380,771,49.3,190,446,42.6,196,212,92.5,22,221,243,250,38,15,124,85,1161,2.02,0.31
45,Nikola Vucevic,CHI,65,2199,1143,470,917,51.3,103,297,34.7,100,123,81.3,130,601,731,214,46,52,112,145,1604,1.91,0.41
46,Buddy Hield,IND,66,2105,1140,402,879,45.7,246,576,42.7,90,108,83.3,57,270,327,179,76,19,119,134,1127,1.50,0.64
47,Jimmy Butler,MIA,51,1696,1119,366,702,52.1,27,81,33.3,360,424,84.9,117,193,310,263,98,16,87,64,1319,3.02,1.13
48,Bennedict Mathurin,IND,66,1857,1114,354,826,42.9,88,278,31.7,318,384,82.8,73,196,269,94,40,8,119,135,868,0.79,0.34
49,Spencer Dinwiddie,BKN,63,2151,1111,371,828,44.8,157,404,38.9,212,257,82.5,23,182,205,347,52,19,112,147,1120,3.10,0.46
50,Tyrese Haliburton,IND,53,1783,1093,389,795,48.9,156,383,40.7,159,184,86.4,32,164,196,544,89,24,134,65,1381,4.06,0.66
