#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
29,RJ Barrett,NYK,72,2511,1264,467,1060,44.1,124,309,40.1,206,276,74.6,68,346,414,217,53,20,139,188,1166,1.56,0.38
30,Domantas Sabonis,IND,62,2231,1260,484,904,53.5,52,162,32.1,240,328,73.2,150,592,742,415,76,33,213,203,1805,1.95,0.36
31,Paul George,LAC,54,1821,1259,445,953,46.7,171,416,41.1,198,228,86.8,45,314,359,280,62,24,179,132,1267,1.56,0.35
32,Jordan Clarkson,UTA,68,1818,1251,457,1075,42.5,208,599,34.7,129,144,89.6,47,227,274,168,61,10,115,110,1016,1.46,0.53
33,Karl-Anthony Towns,MIN,50,1689,1239,425,875,48.6,122,315,38.7,267,311,85.9,133,396,529,225,39,57,160,186,1435,1.41,0.24
34,Bojan Bogdanovic,UTA,72,2216,1225,406,925,43.9,180,461,39.0,233,265,87.9,40,241,281,136,45,4,128,115,1012,1.06,0.35
35,Tobias Harris,PHI,62,2014,1210,473,924,51.2,82,208,39.4,182,204,89.2,62,357,419,220,55,51,107,119,1375,2.06,0.51
36,Jerami Grant,DET,54,1829,1205,400,932,42.9,115,329,35.0,290,343,84.5,35,215,250,152,35,58,109,125,1006,1.39,0.32
37,Ja Morant,MEM,63,2053,1204,430,957,44.9,73,241,30.3,271,372,72.8,59,193,252,465,57,13,203,87,1160,2.29,0.28
38,Bam Adebayo,MIA,64,2143,1197,456,800,57.0,2,8,25.0,283,354,79.9,142,431,573,346,75,66,169,145,1673,2.05,0.44
39,Pascal Siakam,TOR,56,2006,1196,437,961,45.5,73,246,29.7,249,301,82.7,95,310,405,250,64,37,130,174,1246,1.92,0.49
40,Malcolm Brogdon,IND,56,1930,1186,444,980,45.3,145,374,38.8,153,177,86.4,58,236,294,329,49,15,115,110,1198,2.86,0.43
41,Buddy Hield,SAC,71,2433,1176,403,992,40.6,282,721,39.1,88,104,84.6,29,305,334,257,63,30,130,175,1125,1.98,0.48
42,Tim Hardaway Jr.,DAL,70,1985,1163,407,911,44.7,207,529,39.1,142,174,81.6,20,209,229,126,31,11,64,111,960,1.97,0.48
43,Michael Porter Jr.,DEN,61,1912,1162,443,817,54.2,170,382,44.5,106,134,79.1,91,354,445,70,40,54,77,126,1292,0.91,0.52
44,Dillon Brooks,MEM,67,1997,1151,432,1031,41.9,128,372,34.4,159,195,81.5,53,143,196,157,78,26,119,237,854,1.32,0.66
45,Chris Paul,PHX,70,2200,1149,439,879,49.9,102,258,39.5,169,181,93.4,25,287,312,622,99,19,156,166,1593,3.99,0.64
46,LeBron James,LAL,45,1504,1126,422,823,51.3,104,285,36.5,178,255,69.8,29,317,346,350,48,25,168,70,1249,2.08,0.29
47,Jimmy Butler,MIA,52,1745,1116,366,736,49.7,25,102,24.5,359,416,86.3,94,265,359,369,108,18,109,71,1434,3.38,0.99
48,John Collins,ATL,63,1848,1111,429,771,55.6,83,208,39.9,170,204,83.3,118,349,467,78,34,63,84,193,1293,0.93,0.41
49,CJ McCollum,POR,47,1600,1087,405,884,45.8,169,420,40.2,108,133,81.2,30,155,185,223,44,21,65,87,991,3.43,0.68
50,James Harden,BKN,44,1609,1083,342,734,46.6,121,334,36.2,278,323,86.1,35,313,348,475,53,33,177,99,1378,2.68,0.30
