#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
24,Antawn Jamison,CLE,65,2151,1118,421,1044,40.3,91,267,34.1,185,271,68.3,123,285,408,131,51,43,90,164,952,1.46,0.57
25,Dwight Howard,ORL,54,2070,1113,416,726,57.3,0,7,0.0,281,572,49.1,200,585,785,104,81,116,175,159,1423,0.59,0.46
26,Tony Parker,SAS,60,1923,1095,427,890,48.0,14,61,23.0,227,284,79.9,22,149,171,463,57,5,153,75,1118,3.03,0.37
27,Dwyane Wade,MIA,49,1625,1082,416,837,49.7,15,56,26.8,235,297,79.1,73,164,237,225,82,63,129,110,1077,1.74,0.64
28,John Wall,WAS,66,2386,1076,378,894,42.3,3,42,7.1,317,402,78.9,48,252,300,530,95,57,255,137,1202,2.08,0.37
29,Paul Millsap,UTA,64,2100,1061,426,861,49.5,7,31,22.6,202,255,79.2,180,383,563,150,118,52,112,222,1344,1.34,1.05
30,DeMar DeRozan,TOR,63,2206,1054,381,903,42.2,24,92,26.1,268,331,81.0,40,171,211,128,48,17,123,162,750,1.04,0.39
31,James Harden,OKC,62,1946,1044,309,629,49.1,114,292,39.0,312,369,84.6,30,222,252,229,62,15,137,150,1088,1.67,0.45
32,Tyreke Evans,SAC,63,2162,1037,408,900,45.3,20,99,20.2,201,258,77.9,64,225,289,283,84,29,171,136,1002,1.66,0.49
33,Chris Bosh,MIA,57,2007,1025,393,807,48.7,10,35,28.6,229,279,82.1,94,358,452,103,51,45,117,128,1095,0.88,0.44
33,Luis Scola,HOU,66,2067,1025,436,888,49.1,0,3,0.0,153,198,77.3,122,306,428,140,35,24,153,214,1002,0.92,0.23
35,Marcin Gortat,PHX,66,2114,1017,427,769,55.5,0,2,0.0,163,251,64.9,185,474,659,59,48,99,90,142,1362,0.66,0.53
36,Greg Monroe,DET,66,2082,1015,407,781,52.1,0,1,0.0,201,272,73.9,239,398,637,152,83,46,161,180,1327,0.94,0.52
37,Ty Lawson,DEN,61,2124,999,374,767,48.8,73,200,36.5,178,216,82.4,54,173,227,401,82,6,149,94,1135,2.69,0.55
38,Carlos Boozer,CHI,66,1948,991,448,842,53.2,0,1,0.0,95,137,69.3,114,450,564,125,63,24,115,168,1216,1.09,0.55
39,Ryan Anderson,ORL,61,1964,980,332,757,43.9,166,422,39.3,150,171,87.7,224,247,471,54,50,26,57,146,1078,0.95,0.88
40,Lou Williams,PHI,64,1682,956,318,782,40.7,83,229,36.2,237,292,81.2,30,125,155,221,53,18,71,90,813,3.11,0.75
41,Marc Gasol,MEM,65,2370,952,357,740,48.2,1,12,8.3,237,317,74.8,120,459,579,204,62,121,121,201,1334,1.69,0.51
41,Marcus Thornton,SAC,51,1780,952,352,803,43.8,107,310,34.5,141,163,86.5,84,104,188,98,71,12,84,111,764,1.17,0.84
43,Jason Terry,DAL,63,2000,950,357,830,43.0,138,365,37.8,98,111,88.3,16,133,149,226,73,11,127,69,796,1.78,0.57
44,Kevin Garnett,BOS,60,1864,947,391,777,50.3,3,9,33.3,162,189,85.7,66,428,494,175,56,61,107,141,1213,1.64,0.52
45,Kyrie Irving,CLE,51,1558,944,350,747,46.9,73,183,39.9,171,196,87.2,44,147,191,275,54,20,160,110,902,1.72,0.34
46,Arron Afflalo,DEN,62,2086,943,329,699,47.1,88,221,39.8,197,247,79.8,40,157,197,149,36,13,85,134,833,1.75,0.42
47,Jordan Crawford,WAS,64,1753,938,349,872,40.0,79,273,28.9,161,203,79.3,44,124,168,190,59,5,141,111,654,1.35,0.42
48,Al Harrington,DEN,64,1761,910,345,773,44.6,101,303,33.3,119,176,67.6,72,318,390,88,58,12,112,181,861,0.79,0.52
49,Wesley Matthews,POR,66,2228,904,314,763,41.2,129,337,38.3,147,171,86.0,56,168,224,113,96,15,73,148,806,1.55,1.31
50,Tim Duncan,SAS,58,1634,895,361,733,49.2,0,4,0.0,173,249,69.5,110,410,520,132,38,88,97,98,1128,1.36,0.39
