#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
27,Luka Doncic,DAL,72,2318,1526,506,1186,42.7,168,514,32.7,346,485,71.3,86,477,563,429,77,25,247,137,1554,1.74,0.31
28,LeBron James,LAL,55,1937,1505,558,1095,51.0,111,327,33.9,278,418,66.5,57,408,465,454,72,33,197,94,1655,2.31,0.36
29,Lou Williams,LAC,75,1993,1498,484,1138,42.5,105,291,36.1,425,485,87.6,40,182,222,402,57,11,181,80,1295,2.22,0.32
30,Zach LaVine,CHI,63,2171,1492,530,1135,46.7,120,321,37.4,312,375,83.2,40,254,294,283,60,26,215,140,1272,1.32,0.28
31,Mike Conley,MEM,70,2342,1478,490,1120,43.8,155,426,36.4,343,406,84.5,40,199,239,449,94,22,130,123,1459,3.45,0.72
32,CJ McCollum,POR,70,2375,1468,571,1243,45.9,167,445,37.5,159,192,82.8,62,220,282,207,55,28,106,172,1229,1.95,0.52
33,Bojan Bogdanovic,IND,81,2573,1454,522,1051,49.7,164,386,42.5,246,305,80.7,33,300,333,161,69,1,134,138,1296,1.20,0.52
34,Anthony Davis,NOP,56,1850,1452,530,1026,51.7,48,145,33.1,344,433,79.4,174,498,672,218,88,135,112,132,1868,1.95,0.79
35,Jrue Holiday,NOP,67,2402,1420,547,1159,47.2,118,363,32.5,208,271,76.8,75,259,334,518,109,54,210,148,1550,2.47,0.52
36,Khris Middleton,MIL,77,2393,1407,506,1148,44.1,179,474,37.8,216,258,83.7,50,411,461,331,80,7,174,172,1428,1.90,0.46
37,De'Aaron Fox,SAC,81,2546,1399,505,1102,45.8,86,232,37.1,303,417,72.7,43,261,304,590,133,45,227,204,1533,2.60,0.59
38,JJ Redick,PHI,76,2379,1372,452,1027,44.0,240,605,39.7,228,255,89.4,20,166,186,206,32,17,101,129,1110,2.04,0.32
39,Collin Sexton,CLE,82,2605,1371,519,1206,43.0,119,296,40.2,214,255,83.9,57,179,236,243,44,6,185,186,987,1.31,0.24
40,Andre Drummond,DET,79,2647,1370,561,1052,53.3,5,38,13.2,243,412,59.0,423,809,1232,112,136,138,175,272,2153,0.64,0.78
41,Jamal Murray,DEN,75,2447,1367,513,1173,43.7,152,414,36.7,189,223,84.8,65,252,317,363,67,27,158,153,1289,2.30,0.42
42,Jordan Clarkson,CLE,81,2215,1364,529,1180,44.8,144,445,32.4,162,192,84.4,82,188,270,196,57,13,135,112,1084,1.45,0.42
43,Montrezl Harrell,LAC,82,2158,1361,546,888,61.5,3,17,17.6,266,414,64.3,184,351,535,162,71,110,132,255,1617,1.23,0.54
44,Pascal Siakam,TOR,80,2548,1354,519,945,54.9,79,214,36.9,237,302,78.5,124,425,549,248,73,52,154,241,1631,1.61,0.47
45,Danilo Gallinari,LAC,68,2059,1346,409,884,46.3,161,372,43.3,367,406,90.4,54,363,417,178,49,23,99,129,1400,1.80,0.49
46,Ben Simmons,PHI,79,2700,1337,540,960,56.3,0,6,0.0,257,428,60.0,172,525,697,610,112,61,274,209,1952,2.23,0.41
47,Andrew Wiggins,MIN,73,2543,1321,498,1209,41.2,118,348,33.9,207,296,69.9,83,269,352,184,70,48,138,153,1037,1.33,0.51
48,Kyle Kuzma,LAL,70,2314,1308,496,1087,45.6,128,422,30.3,188,250,75.2,60,322,382,178,41,26,133,170,1149,1.34,0.31
49,Rudy Gobert,UTA,81,2577,1284,476,712,66.9,0,0,0.0,332,522,63.6,309,732,1041,161,66,187,130,231,2183,1.24,0.51
50,Harrison Barnes,SAC,77,2533,1265,431,1027,42.0,174,441,39.5,229,278,82.4,57,304,361,115,50,13,98,122,1061,1.17,0.51
